SPECCD_ID,APHIA_ID,COMM,SPEC
1,159490,ORANGE FILEFISH; SCHOEPFI,ALUTERUS SCHOEPFII
2,159491,"FILEFISH,SCRAWLED",ALUTERUS SCRIPTUS
3,154721,GRAY TRIGGERFISH,BALISTES CAPRISCUS
4,127397,QUEEN TRIGGERFISH,BALISTES VETULA
5,159497,FRINGED FILEFISH,MONACANTHUS CILIATUS
6,307126,PLANEHEAD FILEFISH; HISPIDUS,STEPHANOLEPIS HISPIDA
7,159329,NORTHERN KINGFISH,MENTICIRRHUS SAXATILIS
8,126110,,BOTHUS
9,158702,SILVER ANCHOVY,ENGRAULIS EURYSTOLE
10,126436,COD ATLANTIC,GADUS MORHUA
11,126437,HADDOCK,MELANOGRAMMUS AEGLEFINUS
12,126504,WHITE HAKE,UROPHYCIS TENUIS
13,126503,SQUIRREL OR RED HAKE,UROPHYCIS CHUSS
14,158962,SILVER HAKE,MERLUCCIUS BILINEARIS
15,126447,CUSK,BROSME BROSME
16,126441,POLLOCK,POLLACHIUS VIRENS
17,158928,TOMCOD ATLANTIC,MICROGADUS TOMCOD
18,10313,REPLACES GADOIDEI S.O.,GADIFORMES
19,158748,OFF-SHORE HAKE,MERLUCCIUS ALBIDUS
20,151324,REDFISH; MARINUS,SEBASTES NORVEGICUS
21,127254,"REDFISH, DEEP WATER",SEBASTES MENTELLA
22,322499,BONAPARTIA PEDIOLOTA,ZAPHOTIAS PEDALIOTUS
23,126175,REDFISH UNSEPARATED,SEBASTES
24,151179,STRIPED BASS,MORONE SAXATILIS
25,159406,TILE FISH,LOPHOLATILUS CHAMAELEONTICEPS
26,159563,SMOOTHHEAD SCORPIONFISH,SCORPAENA CALCARATA
27,126863,ESCOLAR,LEPIDOCYBIUM FLAVOBRUNNEUM
28,126864,,NEALOTUS TRIPES
29,126867,OILFISH,RUVETTUS PRETIOSUS
30,127138,HALIBUT ATLANTIC,HIPPOGLOSSUS HIPPOGLOSSUS
31,127144,"TURBOT,GREENLAND HALIBUT",REINHARDTIUS HIPPOGLOSSOIDES
