"SCI_NAME","COMM","CODE"
"ACANELLA ARBUSCULA",NA,8329
"ACANTHOCARPUS ALEXANDRI",NA,2530
"ACANTHOGORGIA ARMATA",NA,8326
"ACIPENSER OXYRINCHUS","AMERICAN ATLANT STURGEON; OXYRHYNCHUS",243
"ACTINIARIA","SEA ANEMONE; WAS ANTHOZOA",8300
"ACTINIIDAE",NA,8209
"ACTINOSTOLA",NA,8216
"AEGA PSORA",NA,2981
"AGARUM CLATHRATUM","SEA COLANDER/ HOLEY KELP; CRIBROSUM",9325
"AGONIDAE","ALLIGATOR FISH",351
"AGRIOPOMA MORRHUANUM","MORRHUA VENUSNA; PITAR MORRHUANA",4314
"ALARIA ESCULENTA","SEA WHIP KELP",9323
"ALCYONIUM DIGITATUM","DEAD MANS FINGERS",8336
"ALOSA AESTIVALIS","BLUEBACK HERRING",165
"ALOSA PSEUDOHARENGUS","ALEWIFE",62
"ALOSA SAPIDISSIMA","SHAD AMERICAN",61
"AMAUROPSIS ISLANDICA",NA,4260
"AMBLYRAJA RADIATA","THORNY SKATE",201
"AMMODYTES DUBIUS","NORTHERN SAND LANCE",610
"AMMODYTES","SAND LANCE",611
"AMMODYTIDAE","SAND LANCES",590
"AMPHIPODA",NA,2800
"ANARHICHAS DENTICULATUS","NORTHERN WOLFFISH",52
"ANARHICHAS LUPUS","STRIPED ATLANTIC WOLFFISH",50
"ANARHICHAS MINOR","SPOTTED WOLFFISH",51
"ANGUILLIFORMES","UNIDENTIFIED EELS; ANGUILLOIDEI",634
"ANISARCHUS MEDIUS","STOUT EELBLENNY; LUMPENUS",632
"ANNELIDA","SEGMENTED WORMS",3000
"ANOMIA SIMPLEX",NA,4380
"ANOMIA",NA,4381
"ANOMIIDAE",NA,4328
"ANONYX SARSI",NA,2844
"ANONYX",NA,2833
"ANOPLOGASTER CORNUTA","OGREFISH",774
"ANOTOPTERUS PHARAO","DAGGERTOOTH",732
"ANTHIAS NICHOLSI","YELLOWFIN BASS",498
"ANTHOMASTUS GRANDIFLORUS",NA,8328
"ANTHOPTILUM GRANDIFLORUM",NA,8361
"ANTHOZOA",NA,8332
"ANTIGONIA CAPROS","DEEPBODY BOARFISH",384
"ANTIMORA ROSTRATA","BLUE ANTIMORA/HAKE",113
"ANTIPATHARIA","BLACK CORALS THORNY CORALS; ANTIPATHARIAN",8337
"APHRODITA HASTATA","SEA MOUSE",3200
"APHRODITA",NA,3212
"APHRODITIDAE",NA,3210
"APORRHAIS","DUCK OR PELICAN FOOT",4230
"ARBACIA PUNCTULATA","PURPLE-SPINED SEA URCHIN",6421
"ARCHAEOGASTROPODA","LIMPET",5200
"ARCOSCALPELLUM MICHELOTTIANUM",NA,2056
"ARCTICA ISLANDICA","OCEAN QUAHAUG",4304
"ARCTOZENUS RISSO","WHITE BARRACUDINA; NOTOLEPIS RISSOI",712
"ARENICOLA MARINA","LUGWORM",3161
"ARGENTINA SILUS","ARGENTINE ATLANTIC",160
"ARGENTINA STRIATA","STRIATED ARGENTINE",161
"ARGIS DENTATA",NA,2411
"ARGYROPELECUS ACULEATUS","HATCHETFISH, ATLANTIC SILVER",700
"ARGYROPELECUS GIGAS",NA,705
"ARIOMMA BONDI","SILVER-RAG",785
"ARISTAEOPSIS EDWARDSIANA","ARISTAEPSIS EDWARDSINANA",1281
"ARRHIS PHYLLONYX","AMPHIPODS; PHYLLONIX",2803
"ARTEDIELLUS ATLANTICUS","HOOKEAR SCULPIN,ATL.",880
"ARTEDIELLUS UNCINATUS","SNOWFLAKE HOOKEAR SCULPIN",306
"ARTEDIELLUS","HOOKEAR SCULPIN",323
"ASCIDIA","SEA SQUIRTS",1821
"ASCIDIACEA",NA,1811
"ASCOPHYLLUM NODOSUM","KNOTTED WRACK",9331
"ASPIDOPHOROIDES MONOPTERYGIUS","ALLIGATORFISH",340
"ASPIDOPHOROIDES OLRIKII","ARCTIC ALLIGATORFISH; OLRIKI",341
"ASTARTE UNDATA",NA,4307
"ASTARTE",NA,4316
"ASTERIAS FORBESI",NA,6109
"ASTERIAS RUBENS",NA,6111
"ASTERIAS",NA,6110
"ASTERIIDAE",NA,6105
"ASTEROIDEA",NA,6100
"ASTROPECTEN AMERICANUS",NA,6136
"ASTROPECTEN DUPLICATUS","ASTROTECTEN",6135
"ATLANTOPANDALUS PROPINQVUS",NA,2213
"ATOLLA WYVILLEI",NA,8506
"AURELIA AURITA","MOON JELLY",8010
"AXIIDAE",NA,2540
"AXIUS SERRATUS",NA,2541
"BALANIDAE",NA,2995
"BALTICINA","HALIPTERUS ",8363
"BATHYNECTES LONGISPINA",NA,2506
"BATHYNECTES MARAVIGNA","PORTUNID CRABS",6006
"BATHYPOLYPUS",NA,4508
"BATHYRAJA SPINICAUDA","SPINYTAIL SKATE",205
"BATHYRAJA",NA,1007
"BENTHODESMUS SIMONYI","SIMONYI'S FROSTFISH",714
"BENTHOSEMA GLACIALE","GLACIER LANTERNFISH",157
"BENTHOSEMA",NA,286
"BERINGIUS TURTONI",NA,4213
"BERYX DECADACTYLUS","ALFONSIN A CASTA LARGA",775
"BIVALVIA","INCL PROTOBRANCHIA, HETERODONTA",4300
"BLENNIIFORMES","BLENNIES,SHANNIES,GUNNELS; BLENNIOIDEI",644
"BOLOCERA",NA,8317
"BOLTENIA OVIFERA",NA,1812
"BOLTENIA","SEA POTATO",1823
"BOREOGADUS SAIDA","ARCTIC COD",110
"BOTHIDAE","LEFTEYE FLOUNDER",196
"BRACHIOPODA","LAMPSHELLS",1930
"BRACHYURA","BRACHIURAN CRABS; INCL CRAB",2510
"BREVOORTIA TYRANNUS","MENHADEN ATLANTIC",164
"BRISASTER FRAGILIS","HEART URCHIN",6413
"BROSME BROSME","CUSK",15
"BRYOZOA","BRYOZOANS",1900
"BUCCINIDAE",NA,4209
"BUCCINUM SCALARIFORME","SILKY BUCCINUM",4212
"BUCCINUM UNDATUM","WAVE WHELK,COMMON EDIBLE",4211
"BUCCINUM","WHELKS",4210
"CALAPPA",NA,2529
"CALATHURA BRACHIATA","ISOPOD; BRANCHIATA",2999
"CALLIONYMIDAE","DRAGONETS",635
"CALLIOSTOMA OCCIDENTALE",NA,4259
"CANCER BOREALIS","JONAH CRAB",2511
"CANCER IRRORATUS","ATLANTIC ROCK CRAB",2513
"CANCER",NA,2524
"CARDIIDAE","COCKLES",4340
"CAREPROCTUS LONGIPINNIS","LONGFIN SEASNAIL",507
"CAREPROCTUS RANULA","SCOTIAN SNAILFISH",924
"CAREPROCTUS REINHARDTI","SEA TADPOLE",520
"CAREPROCTUS","SEA TADPOLE",515
"CENTROSCYLLIUM FABRICII","BLACK DOGFISH",221
"CEPHALOPODA",NA,4500
"CERAMASTER GRANULARIS","CEREMASTER",6101
"CERATOSCOPELUS MADERENSIS","LANTERNFISH,HORNED",163
"CERATOSCOPELUS",NA,293
"CHACEON QUINQUEDENS","RED DEEPSEA CRAB",2532
"CHAULIODUS SLOANI","VIPERFISH",169
"CHAUNAX","GAPPER",530
"CHIONOECETES OPILIO","SNOW CRAB  QUEEN; INCL CHIONOECETES SP",2526
"CHIRIDOTA LAEVIS",NA,6719
"CHIRONA HAMERI",NA,2062
"CHLAMYS ISLANDICA","ICELAND SCALLOP",4322
